Placement,Name,Country,Points,Wins,Losses,Ties,Record,OPW_Percent,OOPW_Percent,Deck
289,Alex Belanger-Phoenix,CA,24,7,4,3,7 - 4 - 3,49.91,53.7,charizardpidgeot
290,Elsie Croizer,CA,23,7,5,2,7 - 5 - 2,64.35,58.41,gholdengolunatone
291,Reno Bernardo,US,23,7,5,2,7 - 5 - 2,62.24,56.78,dragapultcharizard
292,Dalton Rowlett,CA,23,7,5,2,7 - 5 - 2,59.92,56.41,ceruledge
293,August Painter,US,23,7,5,2,7 - 5 - 2,59.23,55.78,gardevoir
294,Kenny Hernandez,US,23,7,5,2,7 - 5 - 2,59.12,57.18,zoroark
295,Shun Takemasa,US,23,7,5,2,7 - 5 - 2,58.25,56.19,dragapultdusknoir
296,Amy Wosley,UK,23,7,5,2,7 - 5 - 2,58.04,56.46,alakazamdudunsparce
297,Ron E,CA,23,6,3,5,6 - 3 - 5,58.01,55.89,gholdengolunatone
298,Corey Roca,US,23,7,5,2,7 - 5 - 2,57.78,55.92,charizardnoctowl
299,Igor Bodryakov,CA,23,7,5,2,7 - 5 - 2,57.65,54.89,gardevoirjellicent
300,Liam Bessey,CA,23,7,5,2,7 - 5 - 2,56.55,53.3,raging-boltogerpon
301,Christopher Sdao,CA,23,7,5,2,7 - 5 - 2,56.12,55.48,grimmsnarlfroslass
302,Charles Ames,CA,23,7,5,2,7 - 5 - 2,56.1,54.43,gardevoirjellicent
303,Eddie Pizzano,US,23,7,5,2,7 - 5 - 2,55.71,56.62,charizardnoctowl
304,Kenneth Gilman,US,23,7,5,2,7 - 5 - 2,55.55,54.49,joltikpikachu
305,Theeban Siva,CA,23,7,5,2,7 - 5 - 2,55.48,54.65,dragapultdusknoir
306,Evan Macdonald,CA,23,7,5,2,7 - 5 - 2,55.36,55.01,kangaskhan-megabouffalant
307,Tianqi Zhang,CA,23,7,5,2,7 - 5 - 2,55.16,57.71,dragapultdusknoir
308,Baldemar Merlo,US,23,7,5,2,7 - 5 - 2,54.97,55.54,gholdengolunatone
309,Noah Weston,US,23,7,5,2,7 - 5 - 2,54.96,54.05,charizardnoctowl
310,Ethan Chiu,CA,23,7,5,2,7 - 5 - 2,54.68,54.6,charizardpidgeot
311,Ajay Sridhar,US,23,7,5,2,7 - 5 - 2,54.66,55.4,zoroark
312,Josh Brillantes,CA,23,7,5,2,7 - 5 - 2,53.61,55.65,greninja
313,Eric Aubertin,CA,23,7,5,2,7 - 5 - 2,53.51,55.61,dragapultdusknoir
314,Brandon Lam,US,23,7,5,2,7 - 5 - 2,53.24,55.52,charizardnoctowl
315,Joseph Sapinoso,CA,23,7,5,2,7 - 5 - 2,53.23,53.61,dragapultdusknoir
316,Alex Lafontaine,CA,23,7,5,2,7 - 5 - 2,53.0,54.1,zoroark
317,Paul Selim,US,23,7,5,2,7 - 5 - 2,52.85,53.74,alakazamdudunsparce
318,Jervis Garcia,US,23,7,5,2,7 - 5 - 2,52.73,55.51,dragapultdusknoir
319,Eric Francis,US,23,7,5,2,7 - 5 - 2,52.3,53.96,charizardnoctowl
320,Anthony Daubney,US,23,7,5,2,7 - 5 - 2,52.15,56.16,zoroark
321,Noah Donen,CA,23,7,5,2,7 - 5 - 2,52.01,54.4,gardevoirjellicent
322,Christian Roy-Johnson,CA,23,7,5,2,7 - 5 - 2,50.43,57.8,dragapultdusknoir
323,Jahziah Christie,US,23,7,5,2,7 - 5 - 2,49.35,53.49,toxtricityabsol-mega
324,Alexander Pagnani,CA,22,7,6,1,7 - 6 - 1,62.37,57.95,gholdengolunatone
325,Zach Lesage,CA,22,7,6,1,7 - 6 - 1,60.93,56.96,gholdengolunatone
326,Cyrus Davis,CA,22,7,6,1,7 - 6 - 1,60.33,57.09,pidgeot
327,Joseph Hollin,UK,22,6,4,4,6 - 4 - 4,60.19,59.65,gardevoir
328,David Zheng,US,22,7,6,1,7 - 6 - 1,59.31,56.05,charizardnoctowl
329,Preston Rutledge,US,22,6,4,4,6 - 4 - 4,58.74,58.13,gardevoirjellicent
330,Kacper Smejda,CA,22,7,6,1,7 - 6 - 1,58.67,54.02,dragapultdusknoir
331,Chris Pagan,US,22,7,6,1,7 - 6 - 1,58.06,55.38,iron-thornscrustle
332,Stephen Scicluna,CA,22,7,6,1,7 - 6 - 1,57.82,56.74,charizardpidgeot
333,Benny Zheng,US,22,7,6,1,7 - 6 - 1,57.76,54.29,gardevoirjellicent
334,Arthur Soncini,CA,22,7,6,1,7 - 6 - 1,57.27,54.88,gholdengolunatone
335,Phil Rodda,CA,22,6,4,4,6 - 4 - 4,57.23,56.0,gholdengolunatone
336,Ethan Davis,US,22,7,6,1,7 - 6 - 1,57.2,54.82,gholdengolunatone
337,Ihana Mazezka,US,22,7,6,1,7 - 6 - 1,56.98,57.79,gholdengolunatone
338,Gilbert Hoang,CA,22,7,6,1,7 - 6 - 1,56.82,54.16,ceruledge
339,Ryan Noble,CA,22,6,4,4,6 - 4 - 4,56.81,55.3,grimmsnarlfroslass
340,Mathieu Cantin-Roy,CA,22,6,4,4,6 - 4 - 4,56.68,56.33,charizardnoctowl
341,John Pedro,CA,22,7,6,1,7 - 6 - 1,56.63,55.01,charizardpidgeot
342,Maxime Turck,CA,22,6,4,4,6 - 4 - 4,56.25,55.46,gholdengolunatone
343,Carlos Martinez,US,22,7,6,1,7 - 6 - 1,56.24,55.89,zoroark
344,Alexandre Ouellette,CA,22,7,6,1,7 - 6 - 1,56.02,56.02,garchomp
345,Reilly Cooper,US,22,6,4,4,6 - 4 - 4,55.76,55.03,zoroark
346,Lake Lubrano,US,22,7,6,1,7 - 6 - 1,55.68,53.59,zoroark
347,Enqi Zhang,CN,22,7,6,1,7 - 6 - 1,55.29,54.19,alakazamdudunsparce
348,Olivia Wilson,US,22,7,6,1,7 - 6 - 1,54.98,53.7,raging-boltogerpon
349,Charles Pope,US,22,7,6,1,7 - 6 - 1,54.6,52.0,dragapultcharizard
350,Korbin Kovac,US,22,7,6,1,7 - 6 - 1,54.47,53.69,charizardnoctowl
351,Ethan Rios,US,22,6,4,4,6 - 4 - 4,54.44,57.6,zoroark
352,Bree Nimer,CA,22,7,6,1,7 - 6 - 1,52.44,57.97,gholdengolunatone
353,Cameron Herring,US,22,6,4,4,6 - 4 - 4,51.4,55.33,gardevoir
354,Mark Tiu,CA,22,7,6,1,7 - 6 - 1,49.65,54.61,dragapultdusknoir
355,Matthew Dean,CA,22,7,6,1,7 - 6 - 1,49.01,52.3,gholdengotyphlosion
356,Tommy Thich,CA,21,7,7,0,7 - 7 - 0,63.22,58.79,charizardnoctowl
357,Ryan Hrin,US,21,6,5,3,6 - 5 - 3,59.6,57.0,seakingthwackey
358,Marco Cifuentes D,CL,21,6,5,3,6 - 5 - 3,59.57,57.61,absol-megakangaskhan-mega
359,Kiel Reid,US,21,7,5,0,7 - 5 - 0 drop,59.03,59.85,raging-boltogerpon
360,Anthony Di Donato,CA,21,6,5,3,6 - 5 - 3,58.72,55.15,garchomp
361,Adrian Johnston,CA,21,7,7,0,7 - 7 - 0,58.47,58.09,joltikpikachu
362,Francis Desgagné,CA,21,6,5,3,6 - 5 - 3,57.72,53.68,kangaskhan-megabouffalant
363,Stefan Tabaco,US,21,6,5,3,6 - 5 - 3,55.99,54.78,gardevoir
364,Luis Maldonado,US,21,6,5,3,6 - 5 - 3,55.78,56.33,gholdengolunatone
365,James Harding,US,21,6,5,3,6 - 5 - 3,55.2,56.5,gholdengolunatone
366,Khoa Tong,US,21,6,5,3,6 - 5 - 3,54.27,54.41,zoroark
367,Juan Contla,US,21,6,5,3,6 - 5 - 3,53.38,59.71,charizardnoctowl
368,Kara Wherry,CA,21,6,5,3,6 - 5 - 3,52.84,52.77,ursaluna-bloodmoonlunatone
369,Leroy Morgado,CA,21,6,5,3,6 - 5 - 3,52.79,52.86,dragapultdusknoir
370,Jessica Sloyan,US,21,6,5,3,6 - 5 - 3,52.51,51.96,iron-thornscrustle
371,Jonathan Pasqua,CA,21,6,5,3,6 - 5 - 3,50.64,54.6,dragapultdusknoir
372,Logan McKay,CA,20,6,5,2,6 - 5 - 2 drop,59.31,57.73,gardevoirjellicent
373,Eric Wu,US,20,6,6,2,6 - 6 - 2,58.84,54.2,gholdengolunatone
374,Joe Bryant,US,20,6,6,2,6 - 6 - 2,58.18,56.9,ceruledge
375,Daniel Sopko,US,20,5,4,5,5 - 4 - 5,58.12,57.37,gholdengolunatone
376,Amram Edery,CA,20,6,6,2,6 - 6 - 2,55.8,54.59,gholdengolunatone
377,Alex Nickerson,CA,20,6,6,2,6 - 6 - 2,55.17,54.08,charizardnoctowl
378,John Sarcilla,CA,20,6,6,2,6 - 6 - 2,54.16,54.73,dipplinthwackey
379,Cristian Estrada,US,20,6,6,2,6 - 6 - 2,53.68,55.44,dragapultdusknoir
380,Ray Howard,CA,20,6,6,2,6 - 6 - 2,52.89,54.38,gholdengolunatone
381,Jerrick Gumila,US,20,5,4,5,5 - 4 - 5,52.54,51.36,gardevoir
382,John Nguyen,CA,20,6,6,2,6 - 6 - 2,52.17,55.05,charizardpidgeot
383,Isaiah Cheville,US,20,6,6,2,6 - 6 - 2,52.01,55.79,gardevoirjellicent
384,Jay Medeiros,CA,20,6,6,2,6 - 6 - 2,51.83,53.47,gholdengolunatone
385,Joseph La Madrid,CA,20,6,6,2,6 - 6 - 2,51.45,53.34,gardevoir
386,William Courcy,CA,20,6,6,2,6 - 6 - 2,51.36,54.61,gholdengolunatone
387,Paul Doherty,UK,20,6,5,2,6 - 5 - 2 drop,49.78,50.97,charizardnoctowl
388,Derrick Hong,CA,19,6,7,1,6 - 7 - 1,61.61,56.5,dragapultdusknoir
389,Mike Morton,US,19,5,4,4,5 - 4 - 4 drop,58.89,53.14,charizardpidgeot
390,Jac Carter,US,19,6,7,1,6 - 7 - 1,58.31,56.52,gholdengolunatone
391,Dominic Mansuetto,US,19,6,7,1,6 - 7 - 1,57.33,53.22,charizardnoctowl
392,William Timmermeyer,US,19,6,7,1,6 - 7 - 1,57.27,56.14,raging-boltogerpon
393,Jessica Siders,US,19,6,7,1,6 - 7 - 1,56.95,55.48,gardevoirjellicent
394,Cody Smith,US,19,6,6,1,6 - 6 - 1 drop,55.18,53.81,gholdengolunatone
395,Joshua Meza,US,19,6,7,1,6 - 7 - 1,54.72,55.63,gholdengolunatone
396,Aidan Torchia,CA,19,6,7,1,6 - 7 - 1,52.54,52.76,charizardpidgeot
397,Kenneth Hung,CA,19,6,6,1,6 - 6 - 1 drop,49.37,52.73,dragapultdusknoir
398,Weihao Huang,CA,19,5,5,4,5 - 5 - 4,49.29,54.1,gholdengolunatone
399,Parker Lawson,US,19,6,2,1,6 - 2 - 1 drop,46.17,54.95,flareonnoctowl
400,David Dong,US,18,5,5,3,5 - 5 - 3 drop,61.91,56.16,gardevoirjellicent
401,Aaron Walker,US,18,5,6,3,5 - 6 - 3,57.88,56.31,gardevoirjellicent
402,Shawn Chauvin,CA,18,5,6,3,5 - 6 - 3,57.05,54.81,dragapultdusknoir
403,Meili Swanson,US,18,5,5,3,5 - 5 - 3 drop,56.4,54.25,gardevoirjellicent
404,William Smith,US,18,6,8,0,6 - 8 - 0,55.85,57.18,gholdengolunatone
405,Xavier Robillard,CA,18,5,6,3,5 - 6 - 3,51.21,51.58,charizardnoctowl
406,Mike Gyssels,CA,17,5,2,2,5 - 2 - 2 drop,61.19,56.07,dragapultdusknoir
407,Robby Weidman,US,17,5,5,2,5 - 5 - 2 drop,58.9,57.55,charizardpidgeot
408,Thomas McCabe,US,17,5,7,2,5 - 7 - 2,56.78,53.68,gholdengojoltik
409,Jeffrey Deka,CA,17,5,5,2,5 - 5 - 2 drop,54.34,56.27,gholdengolunatone
410,TJ Heying,US,16,5,3,1,5 - 3 - 1 drop,63.97,55.62,ceruledge
411,Wesley Tam,CA,16,5,3,1,5 - 3 - 1 drop,61.27,54.14,grimmsnarlfroslass
412,Shashi Naraine,CA,16,5,4,1,5 - 4 - 1 drop,60.5,54.72,gholdengolunatone
413,Carter Brush,CA,16,5,6,1,5 - 6 - 1 drop,60.32,55.55,gardevoirjellicent
414,Tristan Maier,US,16,5,4,1,5 - 4 - 1 drop,59.3,54.78,gardevoirjellicent
415,Sean Foisy,US,16,5,3,1,5 - 3 - 1 drop,58.41,54.81,gholdengolunatone
416,John Drouin,CA,16,5,8,1,5 - 8 - 1,58.29,55.8,gardevoirjellicent
417,Ramon Miranda,US,15,5,3,0,5 - 3 - 0,68.08,59.18,dragapultdusknoir
418,Allan Pan,CA,15,5,3,0,5 - 3 - 0,66.41,57.6,raging-boltogerpon
419,Fayez Syed,US,15,5,3,0,5 - 3 - 0,63.28,54.81,charizardnoctowl
420,Bodan Nuttall-licht,CA,15,4,1,3,4 - 1 - 3,63.02,53.18,gardevoirjellicent
421,Adam Kalamat,CA,15,5,3,0,5 - 3 - 0,62.5,56.4,gardevoir
422,Krystal Florendo,CA,15,5,3,0,5 - 3 - 0,61.72,56.36,charizardnoctowl
423,Benedict Brenner,US,15,5,3,0,5 - 3 - 0,61.25,56.93,charizardnoctowl
424,Sebastian Lashmet,US,15,4,1,3,4 - 1 - 3,61.05,56.94,gardevoirjellicent
425,Francis Savard,CA,15,5,3,0,5 - 3 - 0,60.94,56.37,gholdengolunatone
426,Austin Drake,CA,15,5,3,0,5 - 3 - 0,60.16,54.37,gardevoirjellicent
427,BILLY CHAN,CA,15,5,3,0,5 - 3 - 0,60.16,53.3,gholdengolunatone
428,Lucas Huculak,CA,15,5,3,0,5 - 3 - 0,59.38,53.46,pidgeot
429,Cameron Roberts,US,15,5,3,0,5 - 3 - 0,59.15,53.38,gholdengolunatone
430,Drew Stephenson,UK,15,5,3,0,5 - 3 - 0,59.02,55.83,gholdengolunatone
431,Ciaran Farah,CA,15,5,3,0,5 - 3 - 0,58.59,55.02,gholdengolunatone
432,Dennis Peroff,CA,15,5,3,0,5 - 3 - 0,57.18,55.62,charizardnoctowl
433,Daniel Chan,CA,15,5,3,0,5 - 3 - 0,57.03,54.47,gholdengolunatone
434,Tim Vince,CA,15,5,3,0,5 - 3 - 0,57.03,53.48,dragapultdusknoir
435,Evan Bryant,US,15,5,3,0,5 - 3 - 0,56.92,55.23,gardevoir
436,Ivan Lukens,US,15,5,3,0,5 - 3 - 0,56.81,54.28,charizarddragapult
437,Paul Miller,US,15,5,3,0,5 - 3 - 0,56.56,56.07,dragapultdusknoir
438,Michael Gallo,CA,15,5,3,0,5 - 3 - 0,56.45,56.18,dragapultdusknoir
439,Robert Marshal,US,15,5,3,0,5 - 3 - 0,56.45,53.55,gholdengolunatone
440,Brandon Sinclair,CA,15,5,3,0,5 - 3 - 0,55.73,51.78,grimmsnarlfroslass
441,Steven Vuong,CA,15,5,3,0,5 - 3 - 0,55.47,54.27,gholdengolunatone
442,Brennan Browley,CA,15,5,3,0,5 - 3 - 0,55.47,53.91,gholdengolunatone
443,Liam Clary,US,15,4,1,3,4 - 1 - 3,55.06,53.01,gardevoir
444,Ash Lafford,CA,15,5,3,0,5 - 3 - 0,54.95,50.91,gardevoirjellicent
445,Landen Dwyer,CA,15,5,3,0,5 - 3 - 0,54.69,50.03,charizardnoctowl
446,Logan Anna,US,15,5,3,0,5 - 3 - 0,54.11,53.98,gholdengolunatone
447,Jacky Su,CA,15,5,3,0,5 - 3 - 0,54.09,54.08,gholdengolunatone
448,Luke Levy,US,15,4,1,3,4 - 1 - 3,54.02,52.49,gholdengolunatone
449,Jacob Faville,US,15,4,1,3,4 - 1 - 3,53.96,53.45,zoroark
450,Vernon Tsoi,CA,15,5,3,0,5 - 3 - 0,53.91,53.25,dragapultdusknoir
451,Matthew Shade,US,15,4,1,3,4 - 1 - 3,53.91,52.32,alakazamdudunsparce
452,Caleb Gedemer,US,15,5,3,0,5 - 3 - 0,53.68,54.79,gholdengolunatone
453,Gabriel Kuchera,CA,15,5,3,0,5 - 3 - 0,53.57,55.56,dragapultdusknoir
454,Nate Hathaway,US,15,5,3,0,5 - 3 - 0,53.44,51.94,gholdengolunatone
455,Jose Roberto CABRIALES DE HOYOS,MX,15,5,3,0,5 - 3 - 0,53.27,52.84,charizardnoctowl
456,Cote Duffy,CA,15,5,3,0,5 - 3 - 0,52.97,53.33,charizardnoctowl
457,Solomon Im,US,15,5,3,0,5 - 3 - 0,52.46,52.15,dragapultdusknoir
458,Sean Van Alen,US,15,5,3,0,5 - 3 - 0,52.4,51.65,gardevoir
459,Jacob St-Onge,CA,15,5,3,0,5 - 3 - 0,52.34,53.81,lopunny-megadusknoir
460,Millan Patel,US,15,5,3,0,5 - 3 - 0,52.34,52.03,gardevoir
461,Dino Fudoli,US,15,5,3,0,5 - 3 - 0,51.97,54.69,raging-boltogerpon
462,James Wesser,US,15,5,3,0,5 - 3 - 0,51.88,53.19,kangaskhan-megabouffalant
463,Eric Tortoza,BR,15,5,3,0,5 - 3 - 0,51.56,54.33,dragapultdusknoir
464,Julio Santos De Leon,US,15,5,3,0,5 - 3 - 0,51.56,53.24,dragapultdusknoir
465,Djanice St-Hilaire,CA,15,5,3,0,5 - 3 - 0,51.3,50.73,ceruledge
466,Steven Lapthorne,CA,15,5,3,0,5 - 3 - 0,50.87,48.43,charizardnoctowl
467,Adam Tam,CA,15,5,3,0,5 - 3 - 0,50.78,52.43,charizardnoctowl
468,Abijah Jongsma,CA,15,5,3,0,5 - 3 - 0,50.63,53.82,gardevoirjellicent
469,Novah Strutt,CA,15,5,3,0,5 - 3 - 0,50.31,53.64,charizardnoctowl
470,Esteban Tinajero,US,15,5,3,0,5 - 3 - 0,49.89,55.8,gholdengolunatone
471,Anthony Saso,US,15,5,3,0,5 - 3 - 0,49.89,54.66,gholdengolunatone
472,Chris Morello,CA,15,5,3,0,5 - 3 - 0,49.53,52.3,charizardnoctowl
473,Hayden Mikolayenko,CA,15,5,3,0,5 - 3 - 0,49.42,57.25,gholdengolunatone
474,Dominick Ciampi,US,15,5,3,0,5 - 3 - 0,49.08,55.13,kangaskhan-megabouffalant
475,Ryan Himes,US,15,5,3,0,5 - 3 - 0,48.36,55.91,gholdengolunatone
476,Jeremiah Neumann,US,15,5,3,0,5 - 3 - 0,48.33,53.0,ceruledge
477,Nathaniel Liao-Park,CA,15,5,3,0,5 - 3 - 0,48.33,52.37,garchomp
478,Chris Derocher,US,15,5,3,0,5 - 3 - 0,48.33,51.27,zoroark
479,Ivan Stoyanov,CA,15,4,1,3,4 - 1 - 3,48.18,56.57,froslassmunkidori
480,Andrew James Whitcomb,US,15,5,3,0,5 - 3 - 0,47.92,53.38,slowking
481,Jackson Hall,US,15,5,3,0,5 - 3 - 0,47.86,56.84,gholdengolunatone
482,Andrew Martin,US,15,5,3,0,5 - 3 - 0,47.19,55.42,charizardpidgeot
483,Jack Lea,US,15,5,3,0,5 - 3 - 0,47.19,51.29,gardevoir
484,Matthew Potteiger,US,15,5,3,0,5 - 3 - 0,47.08,52.7,dragapultcharizard
485,Nazim Belguendouz,CA,15,4,1,3,4 - 1 - 3,46.73,54.28,gholdengolunatone
486,Bianca Lépine,CA,15,5,3,0,5 - 3 - 0,46.47,52.1,lopunny-megadusknoir
487,Nabeel Iqbal,CA,15,5,3,0,5 - 3 - 0,46.44,57.92,grimmsnarlfroslass
488,Hubert Zhu,CA,15,5,3,0,5 - 3 - 0,46.24,50.6,joltikpikachu
489,Luke Harvey,US,15,5,3,0,5 - 3 - 0,46.24,48.4,gholdengolunatone
490,Ronnie Marin,US,15,5,3,0,5 - 3 - 0,46.19,48.87,dragapultdusknoir
491,Jaden Sailer,US,15,5,3,0,5 - 3 - 0,45.94,54.34,charizardnoctowl
492,Eric Rodriguez,US,15,5,3,0,5 - 3 - 0,45.94,55.73,dragapultdusknoir
493,Zack Dietrick,US,15,5,3,0,5 - 3 - 0,45.74,56.36,flareonnoctowl
494,Stephen L Kent,UK,15,5,3,0,5 - 3 - 0,44.9,49.1,kangaskhan-megabouffalant
495,Johann Collecchia,FR,15,5,3,0,5 - 3 - 0,44.9,48.56,gardevoir
496,Jacob Szettella,US,15,5,3,0,5 - 3 - 0,44.73,51.71,dragapultdusknoir
497,Alex Alvarez,US,15,5,3,0,5 - 3 - 0,44.62,51.99,charizardnoctowl
498,Zhaoyu Li,CA,15,4,1,3,4 - 1 - 3,43.99,55.56,gholdengolunatone
499,Benjamin Kulhom,US,15,5,3,0,5 - 3 - 0,43.68,51.82,gardevoirjellicent
500,Francesco Moscillo,CA,15,5,3,0,5 - 3 - 0,42.89,49.55,dragapultdusknoir
501,Nick Mirecki,US,15,5,3,0,5 - 3 - 0,42.5,50.6,dragapultdusknoir
502,Lyra Kraemer,US,15,5,3,0,5 - 3 - 0,42.29,49.43,absol-megakangaskhan-mega
503,Mathieu Faucher,CA,15,5,3,0,5 - 3 - 0,39.35,51.63,noctowlogerpon-wellspring
504,Edward Jin,CA,15,5,3,0,5 - 3 - 0,39.21,47.57,charizardnoctowl
505,Bobby Ou,US,15,5,3,0,5 - 3 - 0,37.76,48.33,dragapultdusknoir
506,Ira Norwood,US,14,4,2,2,4 - 2 - 2,65.74,54.59,gholdengolunatone
507,Matt Bacnis,US,14,4,2,2,4 - 2 - 2,65.63,59.48,charizardnoctowl
508,Joseph Chigbrow,US,14,4,2,2,4 - 2 - 2,64.58,55.49,zoroark
509,Hamza Khan,CA,14,4,2,2,4 - 2 - 2,64.17,59.67,gholdengojoltik
510,justin horkman,US,14,4,2,2,4 - 2 - 2,64.06,56.06,grimmsnarlfroslass
511,Jonathan Cloutier,CA,14,4,2,2,4 - 2 - 2,61.77,54.88,greninja
512,Alex Andreichuk,UK,14,4,2,2,4 - 2 - 2,61.72,54.02,gholdengolunatone
513,Jeremy Gumila,US,14,4,2,2,4 - 2 - 2,61.72,53.97,dragapultdusknoir
514,Ian Baumgarner,US,14,4,2,2,4 - 2 - 2,61.72,52.72,ceruledge
515,Robert Fiorini,US,14,4,2,2,4 - 2 - 2,61.46,54.62,gholdengolunatone
516,Zack Pavao,CA,14,4,2,2,4 - 2 - 2,60.94,54.36,dragapultcharizard
517,Dan O'Brien,US,14,4,2,2,4 - 2 - 2,60.94,52.98,kangaskhan-megabouffalant
518,Alessio Amorelli,CA,14,4,2,2,4 - 2 - 2,60.78,49.58,gholdengolunatone
519,Andrew Weiss,US,14,4,2,2,4 - 2 - 2,60.68,54.09,gholdengolunatone
520,Eric Liu,US,14,4,2,2,4 - 2 - 2,59.78,53.9,charizardpidgeot
521,Raphaël Gauthier,CA,14,4,2,2,4 - 2 - 2,59.69,55.08,zoroark
522,Josh Wilmerding,US,14,4,2,2,4 - 2 - 2,59.69,53.4,kangaskhan-megabouffalant
523,Diamonti Noble,US,14,4,2,2,4 - 2 - 2,59.11,55.49,zoroark
524,Edward Vo,US,14,4,2,2,4 - 2 - 2,58.33,50.71,zoroark
525,James Morris,US,14,4,2,2,4 - 2 - 2,58.13,56.82,grimmsnarlfroslass
526,David Gibb,CA,14,4,2,2,4 - 2 - 2,57.81,53.89,dragapultdusknoir
527,Alexander Remick,US,14,4,2,2,4 - 2 - 2,57.7,54.47,dragapultdusknoir
528,Jordan Delmonte,CA,14,4,2,2,4 - 2 - 2,57.34,52.37,conkeldurr
529,Emmett Wilson,US,14,4,2,2,4 - 2 - 2,57.29,55.89,kangaskhan-megabouffalant
530,Connor Mackenzie,CA,14,4,2,2,4 - 2 - 2,57.29,55.23,gholdengolunatone
531,Kelvin Chan,CA,14,4,2,2,4 - 2 - 2,57.29,54.59,dragapultdusknoir
532,Jackson Ford,CA,14,4,2,2,4 - 2 - 2,57.14,53.35,charizardpidgeot
533,Kenny Ngo,US,14,4,2,2,4 - 2 - 2,57.03,53.61,grimmsnarlfroslass
534,Matthew Zhou,CA,14,3,0,5,3 - 0 - 5,56.25,55.56,gardevoir
535,Bradley Dallaire,US,14,4,2,2,4 - 2 - 2,56.25,53.81,dragapultdusknoir
536,Nathan Louie,CA,14,4,2,2,4 - 2 - 2,56.14,51.31,zoroark
537,Peter Ma,CA,14,4,2,2,4 - 2 - 2,55.99,55.28,gholdengolunatone
538,Christian Crespo,US,14,4,2,2,4 - 2 - 2,55.8,58.06,ursaluna-bloodmoonlunatone
539,Roddy Munro,CA,14,4,2,2,4 - 2 - 2,55.36,53.44,gholdengolunatone
540,Grant Walworth,US,14,4,2,2,4 - 2 - 2,55.23,54.1,gardevoir
541,Charlie Thompson,CA,14,4,2,2,4 - 2 - 2,55.11,52.73,gardevoir
542,Martial Kadour,CA,14,4,2,2,4 - 2 - 2,55.05,51.2,raging-boltogerpon
543,MK Choy,US,14,4,2,2,4 - 2 - 2,54.8,52.98,gardevoir
544,Jose Luis Perez Acosta,CA,14,4,2,2,4 - 2 - 2,54.69,60.16,zoroark
545,Adam Mogensen,CA,14,4,2,2,4 - 2 - 2,54.69,53.49,dragapultdusknoir
546,Luna Dunham,US,14,4,2,2,4 - 2 - 2,54.69,49.58,gholdengolunatone
547,Eric Leger,CA,14,4,2,2,4 - 2 - 2,54.43,51.46,typhlosion
548,Alex Soucy,US,14,4,2,2,4 - 2 - 2,54.22,53.73,gholdengolunatone
549,Mateus Portilho,US,14,4,2,2,4 - 2 - 2,54.17,52.35,charizardnoctowl
550,Frank Jimenez,US,14,4,2,2,4 - 2 - 2,53.91,54.65,gholdengolunatone
551,Alex Butler,CA,14,4,2,2,4 - 2 - 2,53.91,54.63,gholdengolunatone
552,Collin Merli-Matthews,US,14,4,2,2,4 - 2 - 2,53.65,54.46,lopunny-megadusknoir
553,Christopher Palmer,US,14,4,2,2,4 - 2 - 2,53.65,54.38,charizardpidgeot
554,Matthew Wood,CA,14,4,2,2,4 - 2 - 2,53.44,55.57,charizardpidgeot
555,Christina Melnychuk,CA,14,4,2,2,4 - 2 - 2,53.24,54.29,gholdengolunatone
556,Joshua Sambrano,US,14,4,2,2,4 - 2 - 2,52.08,54.85,charizardnoctowl
557,Johnathan Lopez,CA,14,4,2,2,4 - 2 - 2,51.91,50.01,raging-boltogerpon
558,Stéphane Ivanoff,FR,14,4,2,2,4 - 2 - 2,51.45,52.98,gholdengolunatone
559,Riley Malik,US,14,4,2,2,4 - 2 - 2,51.29,52.72,charizardnoctowl
560,Tanner Bradley,US,14,4,2,2,4 - 2 - 2,51.19,56.56,gholdengolunatone
561,Takashi Yoneda,US,14,4,2,2,4 - 2 - 2,51.09,55.29,grimmsnarlfroslass
562,Evan Noronha,CA,14,3,0,5,3 - 0 - 5,50.31,52.59,gholdengolunatone
563,Steven Martin,US,14,4,2,2,4 - 2 - 2,50.21,52.07,gardevoir
564,Mikaël Delisle,CA,14,4,2,2,4 - 2 - 2,50.0,51.21,raging-boltogerpon
565,Li Wan,CA,14,4,2,2,4 - 2 - 2,49.87,49.08,dragapultdusknoir
566,Gabriel Rabin,CA,14,4,2,2,4 - 2 - 2,49.85,55.41,dragapultdusknoir
567,Armando Genis,US,14,4,2,2,4 - 2 - 2,49.53,47.83,gholdengolunatone
568,Frederick Hinder,US,14,4,2,2,4 - 2 - 2,49.42,51.64,raging-boltogerpon
569,Ethan Mathias,CA,14,4,2,2,4 - 2 - 2,49.3,51.03,noctowlogerpon-wellspring
570,Austin Murray,CA,14,4,2,2,4 - 2 - 2,48.96,53.3,gardevoirjellicent
571,Noah Lopez,CA,14,4,2,2,4 - 2 - 2,48.18,52.06,gholdengolunatone
572,Dylan Sabo,US,14,4,2,2,4 - 2 - 2,47.91,55.37,gardevoirjellicent
573,Jack Weaver,US,14,4,2,2,4 - 2 - 2,47.66,49.55,dragapultdusknoir
574,Stuart Sakaluk,CA,14,4,2,2,4 - 2 - 2,47.43,53.24,gholdengolunatone
575,Tejas Patel,CA,14,4,2,2,4 - 2 - 2,47.25,49.69,gholdengolunatone
